Airfoil,Camber,Camber_Location,Thickness,Re,Mach,Alpha,cl,cd,cm
0006,0,0,6,75000,0.8,-3,-0.608242,0.023796,0.001572
0006,0,0,6,75000,0.8,-2,-0.419608,0.017002,-0.002139
0006,0,0,6,75000,0.8,-1,-0.195371,0.016348,-0.000112
0006,0,0,6,75000,0.8,0,0.000535,0.017006,0.001926
0006,0,0,6,75000,0.8,1,0.196489,0.023851,-0.001913
0006,0,0,6,75000,0.8,2,0.42117,0.040398,-0.025727
0006,0,0,6,75000,0.8,3,0.610524,0.056841,-0.035918
0006,0,0,6,75000,0.8,4,0.685266,0.072865,-0.041225
0006,0,0,6,75000,0.8,5,0.723626,0.089172,-0.047211
0006,0,0,6,75000,0.8,6,0.750422,0.106159,-0.05558
0006,0,0,6,75000,0.8,7,0.772102,0.124174,-0.066658
0006,0,0,6,75000,0.8,8,0.790003,0.144686,-0.079989
0006,0,0,6,75000,0.8,9,0.812777,0.167778,-0.093396
0006,0,0,6,75000,0.8,10,0.843699,0.192523,-0.106364
0006,0,0,6,75000,0.8,11,0.878721,0.218393,-0.118759
0006,0,0,6,75000,0.8,12,0.914712,0.245303,-0.130687
0006,0,0,6,75000,0.8,13,0.950999,0.273032,-0.142014
0006,0,0,6,75000,0.8,14,0.98622,0.301416,-0.152689
0006,0,0,6,75000,0.8,15,1.019612,0.33042,-0.162779
0006,0,0,6,75000,0.8,16,1.051107,0.35995,-0.17231
0006,0,0,6,75000,0.8,17,1.080501,0.389906,-0.181303
0006,0,0,6,75000,0.8,18,1.107649,0.420286,-0.189851
0006,0,0,6,75000,0.8,19,1.13273,0.45105,-0.198005
0006,0,0,6,75000,0.8,20,1.155815,0.537323,0.261269
0006,0,0,6,75000,0.85,-20,-1.40146,0.519684,0.263452
0006,0,0,6,75000,0.85,-19,-1.433476,0.651525,0.386848
0006,0,0,6,75000,0.85,-18,-1.890727,0.60294,0.374479
0006,0,0,6,75000,0.85,-17,-1.847577,0.555368,0.361859
0006,0,0,6,75000,0.85,-16,-1.80092,0.508915,0.348963
0006,0,0,6,75000,0.85,-15,-1.750607,0.463697,0.335771
0006,0,0,6,75000,0.85,-14,-1.696528,0.419644,0.321904
0006,0,0,6,75000,0.85,-13,-1.638034,0.371611,0.296943
0006,0,0,6,75000,0.85,-12,-1.557895,0.306784,0.233467
0006,0,0,6,75000,0.85,-11,-1.400208,0.257343,0.194735
0006,0,0,6,75000,0.85,-10,-1.276775,0.215305,0.164356
0006,0,0,6,75000,0.85,-9,-1.164601,0.178042,0.13742
0006,0,0,6,75000,0.85,-8,-1.054842,0.144991,0.113165
0006,0,0,6,75000,0.85,-7,-0.946238,0.116288,0.092773
0006,0,0,6,75000,0.85,-6,-0.841875,0.091995,0.077878
0006,0,0,6,75000,0.85,-5,-0.746183,0.071437,0.06787
0006,0,0,6,75000,0.85,-4,-0.658127,0.053958,0.061427
0006,0,0,6,75000,0.85,-3,-0.573984,0.038748,0.054386
0006,0,0,6,75000,0.85,-2,-0.479888,0.02416,0.025986
0006,0,0,6,75000,0.85,-1,-0.298863,0.01731,-0.000126
0006,0,0,6,75000,0.85,0,0.000684,0.024225,-0.026643
0006,0,0,6,75000,0.85,1,0.300787,0.038819,-0.054896
0006,0,0,6,75000,0.85,2,0.481069,0.054014,-0.061806
0006,0,0,6,75000,0.85,3,0.574764,0.071457,-0.068109
0006,0,0,6,75000,0.85,4,0.65847,0.091928,-0.077864
0006,0,0,6,75000,0.85,5,0.74579,0.116034,-0.092296
0006,0,0,6,75000,0.85,6,0.840214,0.144366,-0.111858
0006,0,0,6,75000,0.85,7,0.942432,0.17684,-0.135028
0006,0,0,6,75000,0.85,8,1.048343,0.213121,-0.160235
0006,0,0,6,75000,0.85,9,1.154071,0.253388,-0.187496
0006,0,0,6,75000,0.85,10,1.2596,0.299297,-0.219699
0006,0,0,6,75000,0.85,11,1.37087,0.366784,-0.287337
0006,0,0,6,75000,0.85,12,1.541448,0.419421,-0.321427
0006,0,0,6,75000,0.85,13,1.637184,0.463561,-0.33546
0006,0,0,6,75000,0.85,14,1.695955,0.508768,-0.348637
0006,0,0,6,75000,0.85,15,1.750029,0.555204,-0.361504
0006,0,0,6,75000,0.85,16,1.800327,0.602763,-0.374101
0006,0,0,6,75000,0.85,17,1.846994,0.651313,-0.386405
0006,0,0,6,75000,0.85,18,1.89012,0.495155,-0.246848
0006,0,0,6,75000,0.85,19,1.359663,0.533197,-0.2584
0006,0,0,6,75000,0.85,20,1.389703,0.688598,0.37293
0006,0,0,6,75000,0.9,-20,-1.794556,0.641608,0.361598
0006,0,0,6,75000,0.9,-19,-1.757943,0.595241,0.349887
0006,0,0,6,75000,0.9,-18,-1.71751,0.549622,0.337778
0006,0,0,6,75000,0.9,-17,-1.673109,0.504876,0.325248
0006,0,0,6,75000,0.9,-16,-1.624584,0.461141,0.312276
0006,0,0,6,75000,0.9,-15,-1.57177,0.41856,0.298837
0006,0,0,6,75000,0.9,-14,-1.514493,0.377284,0.284901
0006,0,0,6,75000,0.9,-13,-1.452563,0.337468,0.27043
0006,0,0,6,75000,0.9,-12,-1.385761,0.299281,0.255388
0006,0,0,6,75000,0.9,-11,-1.313859,0.262896,0.239733
0006,0,0,6,75000,0.9,-10,-1.236576,0.228518,0.223447
0006,0,0,6,75000,0.9,-9,-1.153726,0.196343,0.206489
0006,0,0,6,75000,0.9,-8,-1.064997,0.166584,0.188827
0006,0,0,6,75000,0.9,-7,-0.970087,0.13947,0.170474
0006,0,0,6,75000,0.9,-6,-0.868781,0.115128,0.15133
0006,0,0,6,75000,0.9,-5,-0.760642,0.089804,0.119667
0006,0,0,6,75000,0.9,-4,-0.62444,0.065485,0.080612
0006,0,0,6,75000,0.9,-3,-0.462156,0.047732,0.056277
0006,0,0,6,75000,0.9,-2,-0.314732,0.036093,0.027633
0006,0,0,6,75000,0.9,-1,-0.155238,0.032131,-0.000239
0006,0,0,6,75000,0.9,0,0.000365,0.03611,-0.028258
0006,0,0,6,75000,0.9,1,0.156303,0.047762,-0.056777
0006,0,0,6,75000,0.9,2,0.315648,0.065483,-0.080701
0006,0,0,6,75000,0.9,3,0.462294,0.089759,-0.11954
0006,0,0,6,75000,0.9,4,0.624133,0.115093,-0.151183
0006,0,0,6,75000,0.9,5,0.760306,0.139428,-0.170354
0006,0,0,6,75000,0.9,6,0.868448,0.166541,-0.188749
0006,0,0,6,75000,0.9,7,0.969837,0.196303,-0.206456
0006,0,0,6,75000,0.9,8,1.064814,0.22848,-0.22344
0006,0,0,6,75000,0.9,9,1.153577,0.262854,-0.23972
